CodeEx,PC,Axe,Sens,triCode,Tunnel,NouvPR,Tatouage,GPS
IS101,PCO,A14,Y,A14,LA_DEFENSE,0+0295,L10.366R,"48.888824,2.248336"
IS102,PCO,N192,Y,A14,LA_DEFENSE,0+0060,L10.367S,"48.889618,2.245908"
IS103,PCO,A14,Y,A14,LA_DEFENSE,0+0735,L10.368T,"48.890550,2.243049"
IS104,PCO,A14,Y,A14,LA_DEFENSE,0+0935,L10.369U,"48.891403,2.240528"
IS105,PCO,A14,Y,A14,LA_DEFENSE,1+0100,L10.371W,"48.892033,2.238690"
IS106,PCO,A14,Y,A14,LA_DEFENSE,1+0247,L10.372X,"48.892593,2.236661"
IS107,PCO,A14,Y,A14,LA_DEFENSE,1+0439,L10.373Y,"48.893223,2.234208"
IS108,PCO,A14,Y,A14,LA_DEFENSE,1+0656,L10.374A,"48.894080,2.231542"
IS109,PCO,A14,Y,A14,LA_DEFENSE,1+0821,L10.375C,"48.894730,2.229489"
IS110,PCO,A14,Y,A14,LA_DEFENSE,2+0005,L10.376D,"48.895447,2.227197"
IS111,PCO,N314,Y,A14,LA_DEFENSE,1+0767,L10.377E,"48.896633,2.229861"
IS112,PCO,A14,Y,A14,LA_DEFENSE,2+0252,L10.378F,"48.896435,2.224183"
IS113,PCO,A14,Y,A14,LA_DEFENSE,2+0329,L10.379G,"48.896744,2.223211"
IS114,PCO,A14,Y,A14,LA_DEFENSE,2+0548,L10.381J,"48.897600,2.220506"
IS115,PCO,A14,Y,A14,LA_DEFENSE,2+0753,L10.382K,"48.898293,2.217914"
IS116,PCO,A14,Y,A14,LA_DEFENSE,2+0995,L10.383L,"48.899113,2.214819"
IS117,PCO,A14,Y,A14,LA_DEFENSE,3+0136,L10.384M,"48.899563,2.213017"
IS118,PCO,A14,Y,A14,LA_DEFENSE,3+0286,L10.385N,"48.900010,2.211083"
IS119,PCO,A14,Y,A14,LA_DEFENSE,3+0429,L10.386P,"48.900444,2.209236"
IS120,PCO,A14XA86,Y>I,ECH,ECHANGEUR_NANTERRE,0+0599,L10.387R,"48.902470,2.204833"
IS121,PCO,A14,Y,A14,LA_DEFENSE,3+0598,L10.388S,"48.900944,2.207044"
IS122,PCO,A14XA86,Y>E,ECH,ECHANGEUR_NANTERRE,0+0100,L10.389T,"48.901497,2.204719"
IS123,PCO,A14XA86,Y>E,ECH,ECHANGEUR_NANTERRE,0+0270,L10.391V,"48.902140,2.202781"
IS124,PCO,A14XA86,Y>E,ECH,ECHANGEUR_NANTERRE,0+0470,L10.392W,"48.902300,2.200139"
IS125,PCO,A14XA86,Y>E,ECH,ECHANGEUR_NANTERRE,0+0520,L10.393X,"48.902016,2.199786"
IS126,PCO,A14XA86,Y>E,ECH,ECHANGEUR_NANTERRE,0+0726,L10.394Y,"48.900060,2.199692"
IS127,PCO,A14,Y,A14,LA_DEFENSE,3+0946,L10.395A,"48.901960,2.202544"
IS128,PCO,A14,W,A14,LA_DEFENSE,3+0909,L10.396C,"48.901386,2.202947"
IS129,PCO,A14,W,A14,LA_DEFENSE,3+0756,L10.397D,"48.900800,2.204864"
IS130,PCO,A14XA86,E>Y,ECH,ECHANGEUR_NANTERRE,0+0130,L10.398E,"48.902725,2.203511"
IS131,PCO,A14XA86,E>Y,ECH,ECHANGEUR_NANTERRE,0+0290,L10.399F,"48.902744,2.201483"
IS132,PCO,A14XA86,E>W,ECH,ECHANGEUR_NANTERRE,0+0246,L10.401H,"48.902657,2.201431"
IS133,PCO,A14XA86,E>W,ECH,ECHANGEUR_NANTERRE,0+0403,L10.402J,"48.902010,2.199614"
IS134,PCO,A14XA86,E>W,ECH,ECHANGEUR_NANTERRE,0+0578,L10.403K,"48.900530,2.200236"
IS135,PCO,A14XA86,E>W,ECH,ECHANGEUR_NANTERRE,0+0700,L10.404L,"48.900440,2.201886"
IS136,PCO,A14XA86,W,ECH,ECHANGEUR_NANTERRE,0+0544,L10.405M,"48.900890,2.205090"
IS137,PCO,A14,W,A14,LA_DEFENSE,3+0524,L10.406N,"48.900284,2.207939"
IS138,PCO,A14,W,A14,LA_DEFENSE,3+0286,L10.407P,"48.899685,2.211031"
IS139,PCO,A14,W,A14,LA_DEFENSE,3+0145,L10.408R,"48.899290,2.212861"
IS140,PCO,A14,W,A14,LA_DEFENSE,2+0903,L10.409S,"48.898518,2.215944"
IS141,PCO,A14,W,A14,LA_DEFENSE,2+0760,L10.411U,"48.898045,2.217767"
IS142,PCO,A14,W,A14,LA_DEFENSE,2+0559,L10.412V,"48.897360,2.220317"
IS143,PCO,A14,W,A14,LA_DEFENSE,2+0337,L10.413W,"48.896503,2.223033"
IS144,PCO,A14,W,A14,LA_DEFENSE,2+0259,L10.414X,"48.896200,2.223992"
IS145,PCO,N314,W,A14,LA_DEFENSE,1+0840,L10.415Y,"48.893677,2.227067"
IS146,PCO,A14,W,A14,LA_DEFENSE,2+0017,L10.416A,"48.895283,2.226972"
IS147,PCO,A14,W,A14,LA_DEFENSE,1+0826,L10.417C,"48.894530,2.229342"
IS148,PCO,A14,W,A14,LA_DEFENSE,1+0659,L10.418D,"48.893860,2.231367"
IS149,PCO,A14,W,A14,LA_DEFENSE,1+0442,L10.419E,"48.892944,2.234011"
IS150,PCO,A14,W,A14,LA_DEFENSE,1+0261,L10.421G,"48.891990,2.236333"
IS151,PCO,A14,W,A14,LA_DEFENSE,1+0045,L10.422H,"48.891243,2.238633"
IS152,PCO,A14,W,A14,LA_DEFENSE,0+0784,L10.423J,"48.890312,2.242019"
IS153,PCO,A14,W,A14,LA_DEFENSE,0+0661,L10.424K,"48.889940,2.243573"
IS103A,PCO,N192,Y,A14,LA_DEFENSE,0+0300,L10.425L,"48.890690,2.242966"
IS154,PCO,N192,W,A14,LA_DEFENSE,0+0300,L10.426M,"48.890427,2.242107"
IS171,PCO,A86OUEST,I,NAN,NANTERRE_CENTRE,79+0116,L10.429R,"48.894352,2.191536"
IS172,PCO,A86OUEST,I,NAN,NANTERRE_CENTRE,79+0344,L10.431T,"48.895344,2.194106"
IS173,PCO,A86OUEST,I,NAN,NANTERRE_CENTRE,79+0492,L10.432U,"48.896263,2.195817"
IS174,PCO,A86OUEST,I,NAN,NANTERRE_CENTRE,79+0687,L10.433V,"48.897507,2.197700"
IS175,PCO,A86OUEST,I,NAN,NANTERRE_CENTRE,79+0814,L10.434W,"48.898335,2.198892"
IS176,PCO,A14XA86,I>W,ECH,ECHANGEUR_NANTERRE,0+0119,L10.435X,"48.899395,2.200308"
IS177,PCO,A14XA86,I>W,ECH,ECHANGEUR_NANTERRE,0+0315,L10.436Y,"48.900307,2.201950"
IS178,PCO,A86OUEST,I,NAN,NANTERRE_CENTRE,80+0095,L10.437A,"48.900380,2.201233"
IS179,PCO,A86OUEST,E,NAN,NANTERRE_CENTRE,79+0950,L10.438C,"48.899906,2.200114"
IS180,PCO,A86OUEST,E,NAN,NANTERRE_CENTRE,79+0818,L10.439D,"48.898613,2.198469"
IS181,PCO,A86OUEST,E,NAN,NANTERRE_CENTRE,79+0675,L10.441F,"48.897650,2.197236"
IS182,PCO,A86OUEST,E,NAN,NANTERRE_CENTRE,79+0477,L10.442G,"48.896416,2.195347"
IS183,PCO,A86OUEST,E,NAN,NANTERRE_CENTRE,79+0334,L10.443H,"48.895610,2.193850"
IS184,PCO,A86OUEST,E,NAN,NANTERRE_CENTRE,79+0116,L10.444J,"48.894670,2.191314"
IS501,PCO,N13,Y,NEU,NEUILLY,8+0068,L10.668A,"48.885150,2.259725"
IS502,PCO,N13,W,NEU,NEUILLY,8+0079,L10.669C,"48.884930,2.259422"
IS511,PCO,N315,Y,SEV,SEVINES,3+0027,L10.671E,"48.930202,2.302339"
IS512,PCO,N315,Y,SEV,SEVINES,3+0235,L10.672F,"48.930294,2.302333"
IS513,PCO,N315,Y,SEV,SEVINES,3+0460,L10.673G,"48.934070,2.302406"
IS514,PCO,N315,W,SEV,SEVINES,3+0474,L10.674H,"48.934219,2.301975"
IS515,PCO,N315,W,SEV,SEVINES,3+0240,L10.675J,"48.932320,2.301961"
IS516,PCO,N315,W,SEV,SEVINES,3+0030,L10.676K,"48.930206,2.301975"
IS155,PCO,N1013,W,A14,LA_DEFENSE,0+0100,L10.834X,"48.890232,2.241864"
IS156,PCO,N192,W,A14,LA_DEFENSE,0+0200,L10.835Y,"48.889984,2.243256"
IS157,PCO,A14,W,A14,LA_DEFENSE,0+0465,L10.836A,"48.889057,2.245953"
IS158,PCO,A14,W,A14,LA_DEFENSE,0+0264,L10.837C,"48.888294,2.248453"
IS503,PCO,N13,W,NEU,NEUILLY,8+0190,L11.513F,"48.885258,2.258378"
IS504,PCO,N13,W,NEU,NEUILLY,7+0980,L11.514G,"48.884506,2.260767"
IS185,PCO,A14XA86,W>I,ECH,ECHANGEUR_NANTERRE,0+0389,L11.773P,"48.900659,2.200258"
IS186,PCO,A14XA86,W>I,ECH,ECHANGEUR_NANTERRE,0+0590,L11.774R,"48.901140,2.202848"
IS251,PCE,A86EST,I,NOG,NOGENT,30+0954,L10.482E,"48.843563,2.492417"
IS252,PCE,A86EST,I,NOG,NOGENT,31+0100,L10.483F,"48.842472,2.492664"
IS253,PCE,A86EST,I,NOG,NOGENT,31+0230,L10.484G,"48.841200,2.492786"
IS254,PCE,A86EST,I,NOG,NOGENT,31+0388,L10.485H,"48.839695,2.493056"
IS255,PCE,A86EST,I,NOG,NOGENT,31+0530,L10.486J,"48.838547,2.493606"
IS256,PCE,A86EST,I,NOG,NOGENT,31+0650,L10.487K,"48.837383,2.493842"
IS257,PCE,A86EST,I,NOG,NOGENT,31+0800,L10.488L,"48.836150,2.493839"
IS258,PCE,A86EST,I,NOG,NOGENT,32+0120,L10.489M,"48.833750,2.492606"
IS259,PCE,A86EST,I,NOG,NOGENT,32+0269,L10.491P,"48.832504,2.492025"
IS260,PCE,A86EST,I,NOG,NOGENT,32+0561,L10.492R,"48.830704,2.489322"
IS261,PCE,A86EST,E,NOG,NOGENT,32+0620,L10.493S,"48.830010,2.489636"
IS262,PCE,A86EST,E,NOG,NOGENT,32+0478,L10.494T,"48.830770,2.491167"
IS263,PCE,A86EST,E,NOG,NOGENT,32+0273,L10.495U,"48.832397,2.492542"
IS264,PCE,A86EST,E,NOG,NOGENT,31+0880,L10.496V,"48.835670,2.494308"
IS265,PCE,A86EST,E,NOG,NOGENT,31+0820,L10.497W,"48.836155,2.494375"
IS266,PCE,A86EST,E,NOG,NOGENT,31+0200,L10.498X,"48.837917,2.494931"
IS267,PCE,A86EST,E,NOG,NOGENT,31+0415,L10.499Y,"48.839825,2.493503"
IS268,PCE,A86EST,E,NOG,NOGENT,31+0569,L10.501C,"48.841670,2.493291"
IS269,PCE,A86EST,E,NOG,NOGENT,30+0997,L10.502D,"48.843582,2.493281"
IS271,PCE,A86EST,I,GMO,GUY-MOQUET,43+0887,L10.503E,"48.772274,2.395961"
IS272,PCE,A86EST,I,GMO,GUY-MOQUET,43+0994,L10.504F,"48.771976,2.394559"
IS273,PCE,A86EST,I,GMO,GUY-MOQUET,44+0108,L10.505G,"48.771717,2.392964"
IS274,PCE,A86EST,I,GMO,GUY-MOQUET,44+0207,L10.506H,"48.771572,2.391659"
IS275,PCE,A86EST,I,GMO,GUY-MOQUET,44+0319,L10.507J,"48.771360,2.390169"
IS276,PCE,A86EST,E,GMO,GUY-MOQUET,44+0446,L10.508K,"48.771053,2.390261"
IS277,PCE,A86EST,E,GMO,GUY-MOQUET,44+0240,L10.509L,"48.771210,2.391725"
IS278,PCE,A86EST,E,GMO,GUY-MOQUET,44+0141,L10.511N,"48.771404,2.393014"
IS279,PCE,A86EST,E,GMO,GUY-MOQUET,44+0029,L10.512P,"48.771620,2.394518"
IS280,PCE,A86EST,E,GMO,GUY-MOQUET,43+0912,L10.513R,"48.771904,2.396058"
IS281,PCE,A86EST,I,MOU,MOULIN,45+0587,L10.514S,"48.766083,2.378864"
IS282,PCE,A86EST,I,MOU,MOULIN,45+0677,L10.515T,"48.764810,2.379728"
IS283,PCE,A86EST,I,MOU,MOULIN,45+0792,L10.516U,"48.763960,2.380317"
IS284,PCE,A86EST,I,MOU,MOULIN,45+0869,L10.517V,"48.763165,2.380831"
IS285,PCE,A86EST,I,MOU,MOULIN,45+0990,L10.518W,"48.762320,2.381439"
IS286,PCE,A86EST,I,MOU,MOULIN,46+0098,L10.519X,"48.761307,2.382050"
IS287,PCE,A86EST,E,MOU,MOULIN,46+0331,L10.521A,"48.759754,2.383556"
IS288,PCE,A86EST,E,MOU,MOULIN,46+0215,L10.522C,"48.760727,2.382924"
IS289,PCE,A86EST,E,MOU,MOULIN,46+0106,L10.523D,"48.761530,2.382336"
IS290,PCE,A86EST,E,MOU,MOULIN,46+0018,L10.524E,"48.762356,2.381831"
IS291,PCE,A86EST,E,MOU,MOULIN,45+0907,L10.525F,"48.763176,2.381233"
IS292,PCE,A86EST,E,MOU,MOULIN,45+0786,L10.526G,"48.764046,2.380646"
IS293,PCE,A86EST,E,MOU,MOULIN,45+0702,L10.527H,"48.764860,2.380103"
IS294,PCE,A86EST,E,MOU,MOULIN,45+0607,L10.528J,"48.765526,2.379742"
IS295,PCE,A86EST,E,MOU,MOULIN,45+0552,L10.529K,"48.766090,2.379275"
IS296,PCE,A86EST,E,MOU,MOULIN,45+0457,L10.531M,"48.766766,2.378945"
IS381,PCE,A4,Y,CHA,CHAMPIGNY,9+0389,L10.584A,"48.827126,2.507664"
IS382,PCE,A4,Y,CHA,CHAMPIGNY,9+0476,L10.585C,"48.827045,2.508689"
IS383,PCE,A4,Y,CHA,CHAMPIGNY,9+0594,L10.586D,"48.826930,2.509853"
IS384,PCE,A4,Y,CHA,CHAMPIGNY,9+0650,L10.587E,"48.826720,2.511144"
IS385,PCE,A4,Y,CHA,CHAMPIGNY,9+0751,L10.588F,"48.826510,2.512586"
IS386,PCE,A4,Y,CHA,CHAMPIGNY,9+0854,L10.589G,"48.826435,2.513997"
IS387,PCE,A4,Y,CHA,CHAMPIGNY,9+0951,L10.591J,"48.826336,2.515317"
IS388,PCE,A4,W,CHA,CHAMPIGNY,9+0954,L10.592K,"48.826836,2.515422"
IS389,PCE,A4,W,CHA,CHAMPIGNY,9+0858,L10.593L,"48.826916,2.514108"
IS390,PCE,A4,W,CHA,CHAMPIGNY,9+0762,L10.594M,"48.827015,2.512789"
IS391,PCE,A4,W,CHA,CHAMPIGNY,9+0658,L10.595N,"48.827130,2.511556"
IS392,PCE,A4,W,CHA,CHAMPIGNY,9+0585,L10.596P,"48.827320,2.509961"
